,address,store,number,geometry.type,longtitude,latitude
270,"125 Walker St
New York, NY 10013",Sweets Bakery,32,Point,-73.99994459999999,40.7173202
271,"86-55 Broadway
Elmhurst, NY 11373",Coco Fresh Tea & Juice,32,Point,-73.8771249,40.7373229
272,"5614 Van Horn St
Elmhurst, NY 11373",Pata Cafe,32,Point,-73.8767077,40.7324493
273,"42 Eldridge St
New York, NY 10002",Binki Cafe,32,Point,-73.9930347,40.7157326
274,"123 W 3rd St
New York, NY 10012",Jupioca,32,Point,-74.0003803,40.7307534
275,"223 E 74th St
New York, NY 10021",Sashimi Express II,31,Point,-73.9584608,40.7707303
276,"69-38 Grand Ave
Queens, NY 11378",Le Moment,31,Point,-73.89407659999999,40.7264466
277,"6609 Fort Hamilton Pkwy
Brooklyn, NY 11219",Teadora,31,Point,-74.009958,40.62974
278,"73-10 Bell Blvd
Oakland Gardens, NY 11364",Sweet Adele’s,31,Point,-73.7584722,40.74036359999999
279,"30 3rd Ave
New York, NY 10003",Vivi Bubble Tea,30,Point,-73.9896177,40.7303635
280,"38-21 Main St
Flushing, NY 11354",Macao Imperial Tea,30,Point,-73.8303945,40.7604349
281,"19 Hillel Pl
Brooklyn, NY 11210",Jupioca,30,Point,-73.94836980000001,40.6325137
282,"120 Riverside Blvd
New York, NY 10069",Blu Cafe,29,Point,-73.9891093,40.7763767
283,"2349 86th St
Brooklyn, NY 11214",HeSheEat,29,Point,-73.99017669999999,40.6000753
284,"18 W 14th St
New York, NY 10011",Vivi Bubble Tea,29,Point,-73.99491990000001,40.73624270000001
285,"2833 Grand Concourse
Bronx, NY 10468",Mei Mei Restaurant,29,Point,-73.8915341,40.8702079
286,"Located in
Queens Center",Gong Cha,28,Point,-73.8699788,40.734682
287,"Located in
Queens Center",Gong Cha,28,Point,-73.8699788,40.734682
288,"Located in
Queens Center",Tbaar,15,Point,-73.8699788,40.734682
289,"Located in
Queens Center",Tbaar,15,Point,-73.8699788,40.734682
290,"42-35 162nd St
Flushing, NY 11358",Bakery De Paris,28,Point,-73.80391999999999,40.7591732
291,"7711 Jamaica Ave
Woodhaven, NY 11421",Tea & Snacks,28,Point,-73.86440619999999,40.69189739999999
292,"140 West 4th St
New York, NY 10012",BÀO Tea House,28,Point,-74.0005639,40.7311655
293,"45-01 Greenpoint Ave
Sunnyside, NY 11104",Ave Coffee House,28,Point,-73.9193779,40.7422962
294,"1808 Weirfield St
New York, NY 11385",Tornado Crepe,28,Point,-73.9027004,40.7001601
295,"118-15 Queens Blvd
Forest Hills, NY 11375",O’ Tea,28,Point,-73.8316407,40.7151078
296,"1088 Central Park Ave
Scarsdale, NY 10583",Go Greenly,27,Point,-73.8241243,40.986977
297,"42-21 Bell Blvd
Bayside, NY 11361",Kung Fu Tea,27,Point,-73.76998030000001,40.7620978
298,"121 Madison Ave
New York, NY 10016",Blank Slate Tea,27,Point,-73.9844262,40.7452258
299,"2169 86th St
Brooklyn, NY 11214",Vivi Bubble Tea,27,Point,-73.99407889999999,40.6024434
300,"1 Pike St
New York, NY 10002",One More Drinks,26,Point,-73.99233559999999,40.7142081
301,"5510 7th Ave
Sunset Park, NY 11220",Taiwan Station,26,Point,-74.009265,40.639556
302,"136-20 Roosevelt Ave
Flushing, NY 11355",TBaar,26,Point,-73.8290557,40.75933550000001
303,"5924 8th Ave
Brooklyn, NY 11220",Vivi Bubble Tea,26,Point,-74.0096516,40.6356916
304,"61-31 Roosevelt Ave
Woodside, NY 11377",Fay Da Bakery,26,Point,-73.90284059999999,40.7458101
305,"161 Havemeyer St
Brooklyn, NY 11211",Harmony Tea House,26,Point,-73.9576029,40.7112708
306,"Located in
The St. Regis New York",Astor Court,26,Point,-73.9744893,40.7613727
307,"2232 White Plains Rd
Bronx, NY 10467",China Mia,25,Point,-73.8672591,40.8585192
308,"225 E 110th St
New York, NY 10029",Lemon Life,25,Point,-73.94158890000001,40.793866
309,"390 Manhattan Ave
New York, NY 10026",Harmony,25,Point,-73.9563026,40.8053278
310,"166 W 72nd St
New York, NY 10023",Juicy Cube,24,Point,-73.9812185,40.7781931
311,"1457 York Ave
New York, NY 10075",Jupioca,24,Point,-73.95148089999999,40.7703618
312,"New York, NY 10013",Ling’s Sweet Mini Cakes,24,Point,-74.0094471,40.7217861
313,"4501 4th Ave
Brooklyn, NY 11220",Savoy 4 Bakery,24,Point,-74.00947,40.6490053
314,"533 86th St
Brooklyn, NY 11209",Swirl Fun Frozen Yogurt,24,Point,-74.025181,40.6211093
315,"38 Middle Neck Rd
Great Neck, NY 11021",Mr.Wish,24,Point,-73.7287257,40.7875587
316,"575 8th Ave
New York, NY 10018",Paris Baguette,23,Point,-73.9917692,40.7549941
317,"39-48B Queens Blvd
Sunnyside, NY 11104",Tealicious Express,23,Point,-73.924483,40.7435249
318,"57-16 Woodside Ave
Woodside, NY 11377",Momochai,23,Point,-73.90681339999999,40.7456038
319,"1323 Ave U
Brooklyn, NY 11229",TBaar,23,Point,-73.9575259,40.5988348
320,"61 Lexington Ave
Unit D
New York, NY 10010",PokeZone One,22,Point,-73.983508,40.7408493
321,"61 Lexington Ave
Unit D
New York, NY 10010",PokeZone One,22,Point,-73.983508,40.7408493
322,"61 Lexington Ave
Unit D
New York, NY 10010",YinYang Coffee & Tea,1,Point,-73.983508,40.7408493
323,"61 Lexington Ave
Unit D
New York, NY 10010",YinYang Coffee & Tea,1,Point,-73.983508,40.7408493
324,"1324 2nd Ave
New York, NY 10021",Vivi Bubble Tea,22,Point,-73.9591496,40.7672016
325,"1300 Madison Ave
New York, NY 10128",bobamosa,22,Point,-73.9561074,40.7849481
326,"4865D Broadway
New York, NY 10034",Go Greenly Inwood,22,Point,-73.92394949999999,40.8669311
327,"307 Knickerbocker Ave
Brooklyn, NY 11237",Tornado Crepe,21,Point,-73.9231918,40.70174859999999
328,"8625 5th Ave
Brooklyn, NY 11209",Kung Fu Tea,21,Point,-74.0265122,40.620814
329,"113 Court St
Ste A
Brooklyn, NY 11201",Vivi Bubble Tea,21,Point,-73.99166679999999,40.69055660000001
330,"32-55 Steinway St
Astoria, NY 11103",Uncle Drink,21,Point,-73.919885,40.7575216
331,"2 E Broadway
Ste 6
New York, NY 10038",Vivi Bubble Tea,20,Point,-73.99753,40.7136108
332,"295 Broadway
Brooklyn, NY 11211",Hawa Smoothies & Bubble Tea,20,Point,-73.9580872,40.70863749999999
333,"69 1st Ave
New York, NY 10003",Fancy Juice,20,Point,-73.987158,40.7254414
334,"54-56 Myrtle Ave
Ridgewood, NY 11385",YoFresh Yogurt Cafe,20,Point,-73.908823,40.6996799
335,"144-06 Northern Blvd
Flushing, NY 11354",Sweets Bakery & Cafe,20,Point,-73.82307,40.7644139
336,"247 8th Ave
New York, NY 10011",Hawa Smoothies,20,Point,-73.9990006,40.7449512
337,"315 Greenwich St
New York, NY 10013",Kung Fu Tea,19,Point,-74.01052589999999,40.7169376
338,"86-10 Suite 10
Ste 10
Jackson Heights, NY 11372",Tornado Crepe,19,Point,-73.879919,40.747816
339,"244 7th Ave
Brooklyn, NY 11215",Hawa Smoothie And Juice,19,Point,-73.9795233,40.6695591
340,"244 7th Ave
Brooklyn, NY 11215",Hawa Smoothie And Juice,19,Point,-73.9795233,40.6695591
341,"244 7th Ave
Brooklyn, NY 11215",Bobo’s Smoothies,4,Point,-73.9795233,40.6695591
342,"244 7th Ave
Brooklyn, NY 11215",Bobo’s Smoothies,4,Point,-73.9795233,40.6695591
343,"218 Bedford Ave
Store 1M
Brooklyn, NY 11249",CoCo Fresh Tea & Juice,19,Point,-73.9592644,40.7166336
344,"39 John St
New York, NY 10038",Jupioca,19,Point,-74.0081372,40.7094669
345,"6816 4th Ave
Brooklyn, NY 11220",Sunny Sweet Bakery,18,Point,-74.0236793,40.63501600000001
346,"5502 8th Ave
Brooklyn, NY 11220",Teaus,18,Point,-74.00693369999999,40.6383307
347,"5913 8th Ave
Brooklyn, NY 11220",T Baar Bubble Tea & Smoothie,18,Point,-74.0092415,40.6355931
348,"7309 3rd Ave
Brooklyn, NY 11209",Cheesecake Diva,17,Point,-74.0272044,40.6325132
349,"506 Amsterdam Ave
New York, NY 10024",Kureiji Poke Sushi,17,Point,-73.976047,40.7868084
350,"Located in
Queens Crossing",Happy Lemon,17,Point,-73.8299054,40.7607154
351,"5718 5th Ave
Sunset Park, NY 11220",Lee Lee,17,Point,-74.01502470000001,40.6409365
352,"371 E Fordham Rd
Bronx, NY 10458",Little China City,17,Point,-73.8922473,40.8620651
353,"2783 3rd Ave
Ste 2
Bronx, NY 10455",Perry’s Coffee Shop,17,Point,-73.9199194,40.81513289999999
354,"156 Lawrence St
Brooklyn, NY 11201",Gong Cha,17,Point,-73.9865257,40.6915133
355,"Located in
Roosevelt Field",Gong Cha,17,Point,-73.61280769999999,40.73806310000001
356,"90-19 Corona Ave
Elmhurst, NY 11373",Little House Cafe,17,Point,-73.874594,40.7419743
357,"195-09 69th Ave
Fresh Meadows, NY 11365",Kowloon City Cafe,17,Point,-73.7781941,40.7371881
358,"756 W 181st St
New York, NY 10033",YoSweets,17,Point,-73.9379462,40.85067
359,"325 Broadway
New York, NY 10007",Vivi Bubble Tea,16,Point,-74.004925,40.716076
360,"182-4 Horace Harding Expy
Flushing, NY 11365",Coco Fresh Tea & Juice,16,Point,-73.79157219999999,40.7389789
361,"39-61 61st St
Woodside, NY 11377",Woodside Rainbow Bakery,16,Point,-73.9031664,40.7452974
362,"17 Newkirk Plz
Flatbush - Ditmas Park, NY 11226",Newkirk Fruit,16,Point,-73.96246719999999,40.6348653
363,"86 5th Ave
Brooklyn, NY 11217",Mr.Wish,16,Point,-73.9779295,40.6805206
364,"572 8th Ave
New York, NY 10018",Grace Cafe,16,Point,-73.9912212,40.7547587
365,"8782 Sutphin Blvd
Jamaica, NY 11435",Sweet Mango,16,Point,-73.8096723,40.7049366
366,"150 Kenilworth Pl
Brooklyn, NY 11210",Caffe Bene,15,Point,-73.948829,40.6323276
367,"106 Macdougual St
New York, NY 10012",Avalon New York,15,Point,-74.00074760000001,40.7294154
368,"1616 Avenue U
Brooklyn, NY 11229",Vivi Bubble Tea,15,Point,-73.954925,40.5987961
369,"36-09 Main St
Queens, NY 11354",Motea Garden,15,Point,-73.83153999999999,40.76264279999999
370,"888B Grand Concourse
Bronx, NY 10451",Asia Grill Express,15,Point,-73.9225673,40.8265222
371,"2037 86th St
New York, NY 11214",Snow & Cream,15,Point,-73.99710920000001,40.604173
372,"61-35 Junction Blvd
61-35 Junction Blvd
Rego Park, NY 11374",Gong Cha,15,Point,-73.8630026,40.7332246
373,"278 Wyckoff Ave
Brooklyn, NY 11237",Jupioca,15,Point,-73.9121344,40.6998733
374,"81-18 Broadway
Queens, NY 11373",Yu Tea,14,Point,-73.8834433,40.74297800000001
375,"Located in
New World Mall",Kung Fu Tea,14,Point,-73.82905749999999,40.7593729
376,"10216 Liberty Ave
Ozone Park, NY 11416",Avanzar Smoothies,14,Point,-73.83795490000001,40.6813634
377,"6004 Kissena Blvd
Flushing, NY 11355",Kissena Cafe,14,Point,-73.8152846,40.7398192
378,"37-63 90th St
Jackson Heights, NY 11372",Max Bakery and Restaurant,13,Point,-73.87643419999999,40.7487182
379,"158-36 Cross Bay Blvd
Howard Beach, NY 11414",Mr.Green,13,Point,-73.840328,40.659812
380,"388 6th Ave
New York, NY 10011",Grab & Go,13,Point,-73.9995539,40.7331073
381,"4722 8th Ave
Brooklyn, NY 11220",Drink Tea,13,Point,-74.0025265,40.6425018
382,"41-17 Bell Blvd
Bell Boulevard
Bayside, NY 11361",Packed,13,Point,-73.77051569999999,40.7631251
383,"550 First Ave
New York, NY 10016",Argo Tea,13,Point,-73.9739578,40.7421182
384,"4106 163rd St
Flushing, NY 11358",Koryodang,12,Point,-73.8030891,40.7612219
385,"Alfred Lerner Hall Columbia University
2920 Broadway
New York, NY 10027",Café East,12,Point,-73.9640797,40.8069705
386,"348 6th St
Brooklyn, NY 11215",Crepe Meets Bubble Tea,12,Point,-73.98457549999999,40.6707299
387,"5701 8th Ave
Ste A
Brooklyn, NY 11220",Happy Lemon,12,Point,-74.0076711,40.6369693
388,"38 Park Row
Ste 1
New York, NY 10038",Sprinkles Land,12,Point,-74.00652529999999,40.7116959
389,"6317 8th Ave
Brooklyn, NY 11220",T Baar,11,Point,-74.0114431,40.6333801
390,"264 Kings Hwy
Brooklyn, NY 11223",Long Wong Bakery,11,Point,-73.98079109999999,40.6051108
391,"333 6th Ave
New York, NY 10014",Cool Fresh Juice Bar,11,Point,-74.0014132,40.7314983
392,"Located in
Skyview Center",Gong Cha,11,Point,-73.834941,40.7574274
393,"532B Forest Ave
Staten Island, NY 10310",ViVi Bubble Tea,11,Point,-74.1079043,40.6301502
394,"457 W 50th St
New York, NY 10019",ANA Ramen,11,Point,-73.9912901,40.7646672
395,"5905 4th Ave
Brooklyn, NY 11220",Full Doe,11,Point,-74.0177661,40.6410754
396,"40-10 Main St
Flushing, NY 11354",Tea Cha Cha,10,Point,-73.8303045,40.7592195
397,"365 Central Park Ave
Ste 7
Scarsdale, NY 10583",Bubble Shop,10,Point,-73.8094655,41.0092615
398,"596 3rd Ave
New York, NY 10016",Caffe Bene - 3rd Ave,10,Point,-73.97612699999999,40.74886
399,"1578 Gates Ave
Ridgewood, NY 11385",TBaar,10,Point,-73.9112675,40.7001587
400,"5401 8th Ave
Store B
Brooklyn, NY 11220",Macao Imperial Tea,10,Point,-74.0059467,40.63865500000001
401,"3 Bay 25th St
Brooklyn, NY 11214",Me-Do Desserts,10,Point,-73.99763,40.603855
402,"406 East 64th St
New York, NY 10065",64st Garden Cafe,10,Point,-73.9592555,40.7623539
403,"52 Willoughby St
Downtown Brooklyn, NY 11201",BK Express,9,Point,-73.98684829999999,40.6920244
404,"5002 5th Ave
New York, NY 11220",Vivi Bubble Tea,9,Point,-74.01068699999999,40.6451644
405,"79 A Mott St
New York, NY 10013",CoCo Fresh Tea & Juice,9,Point,-73.9981766,40.716539
406,"Located in
Newport Centre",Kokee Tea,9,Point,-74.0367177,40.7269831
407,"37-01 82nd St
Jackson Heights, NY 11372",Coco Fresh Tea & Juice,9,Point,-73.8839807,40.74959279999999
408,"3042 Buhre Ave
Middletown - Pelham Bay, NY 10461",Juice Rite,9,Point,-73.8308559,40.8473299
409,"471 5th Ave
Brooklyn, NY 11215",Chu Tea,8,Point,-73.98692860000001,40.668116
410,"8520 20th Ave
Bensonhurst, NY 11214",Tbaar,8,Point,-73.9982685,40.6048307
411,"4304 Junction Blvd
Corona, NY 11368",Coffeer,8,Point,-73.8683238,40.7453554
412,"5723 8th Ave
Brooklyn, NY 11220",Gong Cha,8,Point,-74.0081273,40.6366048
413,"Located in
Friendship Plaza",Vivi Bubble Tea,8,Point,-74.2255682,40.1411504
414,"18301 Horace Harding Expy
Fresh Meadows, NY 11365",Star Cafe,8,Point,-73.791185,40.74012
415,"97-17 Jamaica Av
Queens, NY 11421",Hao Hao Kitchen,7,Point,-73.8479918,40.6949137
416,"41-12B 102nd St
Corona, NY 11368",Kung Fu Tea,7,Point,-73.8635243,40.7480801
417,"136-84 Roosevelt Ave
Flushing, NY 11354",ViVi Bubble Tea,7,Point,-73.8270677,40.7601584
418,"New York, NY 10002",Camellia Milk Tea,7,Point,-73.9859414,40.7135097
419,"136-49 Roosevelt Ave
Flushing, NY 11354",Coco Fresh Tea & Juice,7,Point,-73.82840689999999,40.760229
420,"36 W 47th St
New York, NY 10036",Shanghai Sogo,6,Point,-73.9803859,40.7572345
421,"6517 18th Ave
1B
Brooklyn, NY 11204",Vivi Bubble Tea,6,Point,-73.99038329999999,40.61863760000001
422,"60-15 Woodside Ave
Queens, NY 11377",Cornerstone Café,6,Point,-73.90382900000002,40.7450988
423,"18 Beaver St
New York, NY 10004",Juice Vitality,6,Point,-74.0124081,40.7048052
424,"43-35 91st Pl
Elmhurst, NY 11373",Yomi Station,5,Point,-73.8736002,40.7427137
425,"136-37 Roosevelt Ave
Flushing, NY 11354",No! Tea,5,Point,-73.828842,40.7601609
426,"262 Cypress Ave
Bronx, NY 10454",Master Grill,5,Point,-73.9139716,40.8059196
427,"1274 Castle Hill Ave
Bronx, NY 10462",Juice Rite,5,Point,-73.851216,40.8339772
428,"69 Mulberry St
New York, NY 10013",Justin Tea,5,Point,-73.9994952,40.7160455
429,"40-10 Main St
Ameri East Mall
Flushing, NY 11354",Chatime,4,Point,-73.8304131,40.75918739999999
430,"265 Graham Ave
Store Front
Brooklyn, NY 11206",Creep City Ninja Bubble Tea,4,Point,-73.94735949999999,40.702843
431,"47th & Broadway
New York, NY 10036",Mr Bing,4,Point,-73.9851254,40.7594242
432,"4715 8th Ave
Brooklyn, NY 11220",Fly Long Tea,4,Point,-74.0019875,40.6422604
433,"434 Marcus Garvey Blvd
Brooklyn, NY 11216",Cloud 9 Crepes,4,Point,-73.9380049,40.6819979
434,"133-35 Roosevelt Ave
Ste 1
Flushing, NY 11354",Bubble Panda,4,Point,-73.8331304,40.7588339
435,"5411 7th Ave
Brooklyn, NY 11220",Bao Bao Tea （可胜茶）,4,Point,-74.0081387,40.6398453
436,"122 Bedford Ave
Brooklyn, NY 11249",Mr. Wish,4,Point,-73.955944,40.71974549999999
437,"1187 Morrison Ave
Bronx, NY 10472",I Eat,3,Point,-73.8746501,40.82908690000001
438,"5458 Myrtle Ave
Ridgewood, NY 11385",The Pretzel Twister,3,Point,-73.9086939,40.6996894
439,"451 E 116th St
New York, NY 10029",harmony,3,Point,-73.93320369999999,40.795369
440,"162 E 25th St
New York, NY 10010",Anda Cafe,3,Point,-73.9826897,40.7401525
441,"36 W 36th St
New York, NY 10018",TBaar,2,Point,-73.9854363,40.7502326
442,"5822 8th Ave
Brooklyn, NY 11220",Earnest Tea,2,Point,-74.009029,40.636323
443,"411 Troy Ave
Brooklyn, NY 11213",Pho-men On Troy,2,Point,-73.9369074,40.6643693
444,"1205 Church Ave
Brooklyn, NY 11218",Yah Suh NYCE,2,Point,-73.96814950000001,40.6476301
445,"98 Walker St
New York, NY 10013",Bubble Tea,1,Point,-74.0005182,40.7178215
446,"968 Avenue Of The Americas
New York, NY 10001",Hong Kong Street Cart At Broadway Bites,1,Point,-73.9867448,40.7506692
447,"103-22 Roosevelt Ave
Queens, NY 11368",U-Crew Thai Creamery & Tea,1,Point,-73.8620263,40.7495605
448,"5223 8th Ave 53 St
Brooklyn, NY 11220",Tea Do,1,Point,-74.0052655,40.6394525
